time,joint1_rad,joint2_rad,joint3_rad,joint4_rad,ee_x,ee_y,ee_z
1.2636184692382812e-05,9.92443624714174e-06,0.025008594715413807,-9.924436247060233e-06,-0.22500859471541373,0,0,0
0.010216951370239258,0.008022997061366331,0.031883734206038766,-0.008022997061366274,-0.23188373420603872,0,0,0
0.02038431167602539,0.015998860444758966,0.03859919343388721,-0.01599886044475894,-0.23859919343388716,0,0,0
0.03056621551513672,0.023969771884827868,0.04518255487599901,-0.023969771884827882,-0.245182554875999,0,0,0
0.040700435638427734,0.03187901508738562,0.05158760014557384,-0.03187901508738557,-0.2515876001455738,0,0,0
0.08810591697692871,0.06831800829525864,0.07940722998460062,-0.06831800829525855,-0.27940722998460055,0,0,0
0.10236287117004395,0.07901706952206672,0.08702284526351994,-0.07901706952206664,-0.28702284526351984,0,0,0
0.11253237724304199,0.08655312111472872,0.09222671733580365,-0.08655312111472872,-0.29222671733580374,0,0,0
0.12264513969421387,0.09395953769961148,0.0972070117173999,-0.0939595376996115,-0.29720701171739994,0,0,0
0.13611054420471191,0.10367290550614666,0.10352862103236596,-0.10367290550614663,-0.30352862103236594,0,0,0
0.14627909660339355,0.11088606065834676,0.10806170524097083,-0.11088606065834675,-0.3080617052409709,0,0,0
0.15640783309936523,0.11795849428519009,0.11236597953558491,-0.11795849428519006,-0.3123659795355849,0,0,0
0.1698765754699707,0.1271769062794199,0.11775584947475815,-0.12717690627941988,-0.3177558494747581,0,0,0
0.1800394058227539,0.13398282904337414,0.1215652317798818,-0.13398282904337405,-0.32156523177988183,0,0,0
0.1901099681854248,0.14059227004149893,0.12511726981032043,-0.14059227004149893,-0.32511726981032046,0,0,0
0.20282793045043945,0.14873735861653284,0.1292807224033259,-0.14873735861653287,-0.32928072240332595,0,0,0
0.2130417823791504,0.1551074270202139,0.13235972950160468,-0.15510742702021388,-0.3323597295016047,0,0,0
0.22320961952209473,0.16129019580967038,0.13518726113917995,-0.16129019580967038,-0.33518726113917996,0,0,0
0.23338770866394043,0.16731438610336283,0.1377773225723672,-0.16731438610336277,-0.3377773225723672,0,0,0
0.2462167739868164,0.174663205236389,0.14069537978142566,-0.17466320523638895,-0.3406953797814256,0,0,0
0.2563595771789551,0.18027303678351198,0.14272592570883652,-0.18027303678351192,-0.34272592570883653,0,0,0
0.2664620876312256,0.18567865477710296,0.1445034432619523,-0.18567865477710288,-0.3445034432619523,0,0,0
0.2765514850616455,0.1908906043481173,0.14603286619265032,-0.1908906043481173,-0.3460328661926504,0,0,0
0.2893035411834717,0.19720302191199812,0.1476121312259689,-0.1972030219119981,-0.3476121312259689,0,0,0
0.29946088790893555,0.20200507997961878,0.14858585806668734,-0.20200507997961872,-0.34858585806668735,0,0,0
0.30959415435791016,0.2065908112375587,0.14930507194827694,-0.20659081123755868,-0.349305071948277,0,0,0
0.31978321075439453,0.21099069940935553,0.1497735196003528,-0.21099069940935544,-0.3497735196003528,0,0,0
0.3327369689941406,0.2162717793722585,0.1499995612340033,-0.2162717793722585,-0.34999956123400333,0,0,0
0.3429081439971924,0.22016786151700915,0.149886906563371,-0.22016786151700918,-0.349886906563371,0,0,0
0.35304737091064453,0.223827987154978,0.14952068381564418,-0.22382798715497795,-0.34952068381564416,0,0,0
0.36318469047546387,0.22726040426632194,0.1489014505778049,-0.2272604042663219,-0.3489014505778049,0,0,0
0.37595701217651367,0.23125647728605003,0.1477619871129288,-0.23125647728604998,-0.3477619871129288,0,0,0
0.3861353397369385,0.23417471077140298,0.14656825895962344,-0.23417471077140298,-0.34656825895962345,0,0,0
0.39636921882629395,0.2368674853874362,0.1451138623673414,-0.23686748538743618,-0.34511386236734143,0,0,0
0.4064955711364746,0.23929100026323666,0.1434253759155792,-0.2392910002632367,-0.3434253759155792,0,0,0
0.41970014572143555,0.24208711513874256,0.14085386681331152,-0.24208711513874254,-0.34085386681331153,0,0,0
0.42993807792663574,0.24396857680269132,0.1385746210102042,-0.24396857680269132,-0.3385746210102042,0,0,0
0.4401538372039795,0.24559442406012105,0.13605433018301888,-0.24559442406012105,-0.3360543301830189,0,0,0
0.45314931869506836,0.2472969293007716,0.13249728574009628,-0.2472969293007716,-0.3324972857400963,0,0,0
0.4633927345275879,0.24834854930636752,0.12942012405160097,-0.24834854930636752,-0.3294201240516009,0,0,0
0.47353506088256836,0.24913642240351136,0.12613925873686618,-0.24913642240351136,-0.3261392587368661,0,0,0
0.48628950119018555,0.24976812756442968,0.1216879791498359,-0.24976812756442968,-0.3216879791498359,0,0,0
0.49645042419433594,0.24998445616530582,0.11788677586052773,-0.24998445616530582,-0.31788677586052777,0,0,0
0.5065715312957764,0.24994672450495548,0.1138797620241607,-0.24994672450495548,-0.3138797620241607,0,0,0
0.5166962146759033,0.24965616805496196,0.10965500167097639,-0.24965616805496196,-0.3096550016709764,0,0,0
0.5303924083709717,0.24886129814836158,0.10360326151545521,-0.24886129814836158,-0.30360326151545525,0,0,0
0.5405194759368896,0.2479772096673782,0.0988855407484309,-0.2479772096673782,-0.2988855407484309,0,0,0
0.5506308078765869,0.24684409716766725,0.0939743214911121,-0.24684409716766725,-0.293974321491112,0,0,0
0.5633656978607178,0.24506276812876465,0.08751095652530907,-0.24506276812876465,-0.287510956525309,0,0,0
0.5734751224517822,0.24336927221050486,0.0821659069867674,-0.24336927221050486,-0.28216590698676747,0,0,0
0.5835666656494141,0.2414339608371333,0.07664706429285573,-0.24143396083713328,-0.27664706429285557,0,0,0
0.5937767028808594,0.23922899512675272,0.07088276790779582,-0.23922899512675272,-0.27088276790779575,0,0,0
0.6066193580627441,0.23610630935069293,0.06338327617012743,-0.23610630935069296,-0.26338327617012747,0,0,0
0.6167962551116943,0.23335861312170533,0.057250987955544896,-0.23335861312170536,-0.2572509879555449,0,0,0
0.6269259452819824,0.23038679895876596,0.0509875256687749,-0.23038679895876596,-0.25098752566877486,0,0,0
0.6370351314544678,0.22718840684518274,0.04458430500107227,-0.22718840684518274,-0.24458430500107223,0,0,0
0.6495575904846191,0.2229091628460583,0.03645103801425348,-0.2229091628460583,-0.23645103801425343,0,0,0
0.6596715450286865,0.21920083035563562,0.02972733990601467,-0.21920083035563556,-0.22972733990601452,0,0,0
0.6697776317596436,0.21527435710083404,0.022878063852324618,-0.21527435710083412,-0.22287806385232467,0,0,0
0.6798629760742188,0.2111396266062215,0.015919369803291117,-0.21113962660622151,-0.21591936980329107,0,0,0
0.6924843788146973,0.20566710485775946,0.007047752700076529,-0.2056671048577594,-0.20704775270007636,0,0,0
